epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5005,1.93603,25.213,2.07502,0.00111,0.33333,0.00086,0.00016,1.94151,25.3991,2.17682,0.00032,0.00032,0.00032
2,19.1902,1.86089,18.7475,1.85287,0.00111,0.33333,0.00086,0.00016,2.34586,49.7693,2.49917,0.000646932,0.000646932,0.000646932
3,25.7921,1.70061,7.41398,1.87487,0.00111,0.33333,0.00086,0.00016,2.92796,inf,3.64014,0.0009604,0.0009604,0.0009604
4,32.0828,1.78877,5.81163,1.89696,0.00111,0.33333,0.00086,0.00016,1.5253,inf,2.03402,0.0012604,0.0012604,0.0012604
5,38.8551,1.68412,3.87607,1.84253,0.00111,0.33333,0.00086,0.00016,nan,nan,nan,0.00154694,0.00154694,0.00154694
6,45.5471,1.7203,8.74652,2.0026,0.00056,0.16667,0.00105,0.00042,nan,nan,nan,0.001802,0.001802,0.001802
7,52.3545,2.04151,5.09326,2.17793,0.00056,0.16667,0.00105,0.00042,2.26818,inf,3.34567,0.0017624,0.0017624,0.0017624
8,59.0787,1.76685,4.0428,1.95116,0.00111,0.33333,0.00096,0.00045,1.4236,10.6723,1.98665,0.0017228,0.0017228,0.0017228
9,65.7494,1.72414,2.6875,1.89235,0.28282,0.66667,0.27194,0.101,2.21865,10.6334,2.68061,0.0016832,0.0016832,0.0016832
10,72.7502,1.6631,2.20995,2.05633,0.2496,1,0.38543,0.15382,1.71902,5.88687,2.359,0.0016436,0.0016436,0.0016436
11,79.4339,1.72828,1.67404,2.0245,0.01477,0.33333,0.01065,0.00701,1.77737,194.868,3.76592,0.001604,0.001604,0.001604
12,86.0399,1.74735,1.39717,1.94666,0.65157,0.66667,0.59778,0.38684,1.36422,1.68833,1.85071,0.0015644,0.0015644,0.0015644
13,93.0821,1.70159,1.65783,1.96095,0.9609,0.83333,0.97214,0.63425,1.3943,1.06493,1.76845,0.0015248,0.0015248,0.0015248
14,100.057,1.59738,1.18775,1.8023,0.85613,1,0.97214,0.64753,1.29468,1.05271,1.75266,0.0014852,0.0014852,0.0014852
15,107.052,1.68069,1.24712,1.9333,1,0.99454,0.995,0.71709,1.15644,0.9525,1.64185,0.0014456,0.0014456,0.0014456
16,114.063,1.41658,1.08863,1.61981,0.98492,1,0.995,0.70321,1.20318,1.03404,1.58499,0.001406,0.001406,0.001406
17,120.644,1.56532,1.2154,1.81379,0.9899,1,0.995,0.70915,1.18917,0.97711,1.57483,0.0013664,0.0013664,0.0013664
18,127.568,1.52285,1.16213,1.77955,0.99765,1,0.995,0.698,1.17816,0.87471,1.54204,0.0013268,0.0013268,0.0013268
19,134.526,1.57461,1.12261,1.83728,0.98826,1,0.995,0.71123,1.07531,1.16556,1.47343,0.0012872,0.0012872,0.0012872
20,141.154,1.47662,1.01625,1.7062,0.98569,1,0.995,0.72946,1.07427,0.90687,1.60108,0.0012476,0.0012476,0.0012476
21,147.856,1.45326,0.89887,1.73872,0.99102,1,0.995,0.73844,1.04076,0.79908,1.51942,0.001208,0.001208,0.001208
22,154.529,1.45555,0.97802,1.6994,1,0.98887,0.995,0.67857,1.30083,0.99495,1.69096,0.0011684,0.0011684,0.0011684
23,161.178,1.39654,0.89553,1.76106,1,0.99185,0.995,0.69698,1.18587,0.77364,1.54144,0.0011288,0.0011288,0.0011288
24,167.777,1.45869,0.98314,1.72457,1,0.99084,0.995,0.71294,1.1846,0.75261,1.55192,0.0010892,0.0010892,0.0010892
25,174.391,1.42927,0.84489,1.65593,1,0.98187,0.995,0.68154,1.18234,0.72504,1.5429,0.0010496,0.0010496,0.0010496
26,181.044,1.42103,0.81208,1.71173,1,0.98274,0.995,0.69386,1.08192,0.66875,1.48751,0.00101,0.00101,0.00101
27,187.669,1.37782,0.77363,1.64179,0.99521,1,0.995,0.66129,1.27329,0.62919,1.58613,0.0009704,0.0009704,0.0009704
28,194.562,1.33525,0.76568,1.60891,0.99224,1,0.995,0.7081,1.22773,0.63172,1.54081,0.0009308,0.0009308,0.0009308
29,201.171,1.46252,0.7966,1.74028,0.98898,1,0.995,0.71563,1.18281,0.60957,1.53999,0.0008912,0.0008912,0.0008912
30,207.764,1.31778,0.72922,1.63006,0.98867,1,0.995,0.71812,1.17337,0.60941,1.53319,0.0008516,0.0008516,0.0008516
31,214.364,1.37831,0.76369,1.63524,0.98994,1,0.995,0.71713,1.15684,0.60673,1.50637,0.000812,0.000812,0.000812
32,221.01,1.29779,0.67112,1.61937,0.99251,1,0.995,0.70573,1.201,0.60458,1.5285,0.0007724,0.0007724,0.0007724
33,227.695,1.35104,0.70478,1.59631,0.99238,1,0.995,0.69896,1.12605,0.56133,1.47538,0.0007328,0.0007328,0.0007328
34,234.283,1.27679,0.66164,1.56,0.9913,1,0.995,0.73637,1.07377,0.55809,1.44312,0.0006932,0.0006932,0.0006932
35,240.871,1.33244,0.74115,1.6226,0.99096,1,0.995,0.69252,1.11954,0.5641,1.43261,0.0006536,0.0006536,0.0006536
36,247.491,1.25812,0.73402,1.53956,0.98945,1,0.995,0.73162,1.11278,0.55201,1.44659,0.000614,0.000614,0.000614
37,254.109,1.25668,0.69896,1.56761,0.98897,1,0.995,0.71263,1.08966,0.54654,1.4417,0.0005744,0.0005744,0.0005744
38,260.763,1.24411,0.63138,1.5085,0.98968,1,0.995,0.71979,1.11844,0.51208,1.45509,0.0005348,0.0005348,0.0005348
39,267.374,1.27509,0.65129,1.50945,0.99044,1,0.995,0.73978,1.1492,0.51448,1.44761,0.0004952,0.0004952,0.0004952
40,274.053,1.19485,0.65965,1.50467,0.99094,1,0.995,0.73639,1.15489,0.55063,1.45499,0.0004556,0.0004556,0.0004556
41,282.13,1.22938,0.63228,1.7088,0.99114,1,0.995,0.70618,1.14813,0.53428,1.44292,0.000416,0.000416,0.000416
42,288.791,1.20392,0.63584,1.70137,0.99093,1,0.995,0.75189,1.11843,0.53013,1.42796,0.0003764,0.0003764,0.0003764
43,295.452,1.189,0.58226,1.63787,0.9913,1,0.995,0.74122,1.13795,0.54527,1.45176,0.0003368,0.0003368,0.0003368
44,302.387,1.21337,0.63931,1.69827,0.99122,1,0.995,0.7275,1.13481,0.53574,1.45332,0.0002972,0.0002972,0.0002972
45,308.981,1.21532,0.58856,1.64024,0.99086,1,0.995,0.75392,1.10771,0.49721,1.4203,0.0002576,0.0002576,0.0002576
46,315.603,1.1948,0.62835,1.65431,0.99045,1,0.995,0.76113,1.08998,0.49133,1.40727,0.000218,0.000218,0.000218
47,322.242,1.20131,0.59883,1.66742,0.99037,1,0.995,0.77287,1.12644,0.48448,1.42026,0.0001784,0.0001784,0.0001784
48,328.942,1.16459,0.60534,1.61389,0.99042,1,0.995,0.7482,1.13662,0.49939,1.42777,0.0001388,0.0001388,0.0001388
49,335.585,1.19845,0.62239,1.62248,0.99055,1,0.995,0.73582,1.16151,0.5035,1.44437,9.92e-05,9.92e-05,9.92e-05
50,342.205,1.20463,0.59061,1.63481,0.99052,1,0.995,0.73524,1.17372,0.50882,1.45637,5.96e-05,5.96e-05,5.96e-05
